Internal ID,Name,Display Name,Description,Product Group,Product Type,Class,Sub Category,Sub Category,Collection,Brand Name,Collection Name
112654,GH255836,"18"" Pillow - 470 Zen Navy - knife edge","18"" Pillow - 470 Zen Navy - knife edge",Textiles,Throw Pillows,Close-Out,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
112655,GH255837,"18"" Pillow - 459 Linen Emerald - knife edge","18"" Pillow - 459 Linen Emerald - knife edge",Textiles,Throw Pillows,Close-Out,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
112657,GH255838,"18"" Pillow - 438 Cabana Stripe Emerald - knife edge","18"" Pillow - 438 Cabana Stripe Emerald - knife edge",Textiles,Throw Pillows,Close-Out,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
112658,GH255839,"18"" Pillow - 414 Tropical Silhouette Emerald - knife edge","18"" Pillow - 414 Tropical Silhouette Emerald - knife edge",Textiles,Throw Pillows,Close-Out,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
112659,GH255840,"18"" Pillow - 367 Bevel Emerald - knife edge","18"" Pillow - 367 Bevel Emerald - knife edge",Textiles,Throw Pillows,Close-Out,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
114033,GH257226,"24"" Pillow - Dash Stripe Mustard - no welt","24"" Pillow - Dash Stripe Mustard - no welt",Textiles,Throw Pillows,Active,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
114034,GH257227,"22"" Pillow - Kilim - Mustard w Pewter Velvet back","22"" Pillow - Kilim - Mustard w Pewter Velvet back",Textiles,Throw Pillows,Active,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
114035,GH257228,"22"" Pillow - Mandla - Pewter w Linen Snow back and welt","22"" Pillow - Mandla - Pewter w Linen Snow back and welt",Textiles,Throw Pillows,Active,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
114036,GH257229,"24"" Pillow - Arbor Mustard - welt W6457","24"" Pillow - Arbor Mustard - welt W6457",Textiles,Throw Pillows,Active,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
114037,GH257230,"14"" x 24"" Lumbar Pillow - Kilim - Mustard w pewter velvet back - welt kilim","14"" x 24"" Lumbar Pillow - Kilim - Mustard w pewter velvet back - welt kilim",Textiles,Throw Pillows,Active,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
114038,GH257231,"22"" Pillow - Dash stripe mustard - no welt","22"" Pillow - Dash stripe mustard - no welt",Textiles,Throw Pillows,Active,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
114040,GH257232,"22"" Pillow - Oushak Terra Cotta / Linen Dove back - welt 101","22"" Pillow - Oushak Terra Cotta / Linen Dove back - welt 101",Textiles,Throw Pillows,Active,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
114041,GH257233,"22"" Pillow - Calmer Terra Cotta / Rollo Silver back - welt 3068","22"" Pillow - Calmer Terra Cotta / Rollo Silver back - welt 3068",Textiles,Throw Pillows,Active,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
114039,GH257234,"20"" Pillow - Cheetah Terra Cotta w Terra Cotta Velvet back - welt 4076","20"" Pillow - Cheetah Terra Cotta w Terra Cotta Velvet back - welt 4076",Textiles,Throw Pillows,Active,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
